E001, CSCI-1581, A
E001, CSCI-1621, D
E001, CSCI-2120, B
E001, CSCI-2125, B
E001, CSCI-2450, B
E002, CSCI-1581, D
E002, CSCI-1621, A
E002, CSCI-2120, B
E002, CSCI-2125, A
E002, CSCI-2450, A
E002, CSCI-2467, D
E002, CSCI-4501, A
E002, CSCI-4460, B
E002, CSCI-4208, B
E002, CSCI-4670, B
E002, CSCI-4661, A
E003, CSCI-1581, A
E003, CSCI-1621, A
E003, CSCI-2120, B
E003, CSCI-2125, A
E003, CSCI-2450, C
E003, CSCI-2467, A
E003, CSCI-4501, A
E003, CSCI-4621, B
E003, CSCI-4401, A
E003, CSCI-4670, C
E004, CSCI-1581, C
E004, CSCI-1621, D
E004, CSCI-2120, A
E005, CSCI-1581, A
E005, CSCI-1621, B
E005, CSCI-2120, A
E005, CSCI-2125, B
E005, CSCI-2450, D
E005, CSCI-2467, C
E005, CSCI-4670, C
E005, CSCI-4460, B
E005, CSCI-4501, A
E006, CSCI-1581, A
E006, CSCI-1621, A
E006, CSCI-2120, C
E006, CSCI-2125, A
E007, CSCI-1581, C
E007, CSCI-1621, B
E007, CSCI-2120, A
E007, CSCI-2125, C
E007, CSCI-2450, C
E007, CSCI-2467, A
E007, CSCI-4125, C
E007, CSCI-4621, C
E008, CSCI-1581, C
E008, CSCI-1621, A
E008, CSCI-2120, A
E008, CSCI-2125, D
E008, CSCI-2450, C
E009, CSCI-1581, C
E009, CSCI-1621, A
E009, CSCI-2120, B
E009, CSCI-2125, B
E009, CSCI-2450, A
E009, CSCI-2467, A
E009, CSCI-4460, A
E009, CSCI-4125, A
E010, CSCI-1581, A
E010, CSCI-1621, B
E010, CSCI-2120, C
E010, CSCI-2125, A
E010, CSCI-2450, A
E010, CSCI-2467, A
E010, CSCI-4670, C
E010, CSCI-4401, B
E010, CSCI-4661, B
E010, CSCI-4125, B
E011, CSCI-1581, C
E011, CSCI-1621, C
E011, CSCI-2120, B
E011, CSCI-2125, A
E011, CSCI-2450, B
E011, CSCI-2467, A
E011, CSCI-4401, B
E011, CSCI-4125, D
E011, CSCI-4661, B
E011, CSCI-4501, A
